Strategy,Trial,Outcome,Turns,Conflicts,Avg_Wait_Time,Fairness_Index,PacmanA_Score,PacmanB_Score,PacmanC_Score
ALTERNATING_OFFER,1,LOSS,944,2,0.6666666666666666,0.6666666666666666,1190,380,170
ALTERNATING_OFFER,2,WIN,355,4,1.3333333333333333,0.5333333333333333,850,550,480
ALTERNATING_OFFER,3,LOSS,1103,13,4.333333333333333,0.38850574712643676,160,1150,460
ALTERNATING_OFFER,4,LOSS,499,49,16,0.34751131221719456,690,940,110
ALTERNATING_OFFER,5,WIN,434,143,47.666666666666664,0.3779083735284877,580,770,490
ALTERNATING_OFFER,6,WIN,236,3,1,0.6,820,370,670
ALTERNATING_OFFER,7,WIN,692,99,33,0.3333333333333333,350,650,870
ALTERNATING_OFFER,8,WIN,369,6,2,0.6666666666666666,380,800,710
ALTERNATING_OFFER,9,LOSS,950,1,0.3333333333333333,0.3333333333333333,440,60,700
ALTERNATING_OFFER,10,LOSS,1003,4,1.3333333333333333,0.5333333333333333,790,510,520
ALTERNATING_OFFER,11,LOSS,1044,8,1.6666666666666667,0.49019607843137253,200,770,870
ALTERNATING_OFFER,12,WIN,439,2,0.6666666666666666,0.6666666666666666,750,310,820
ALTERNATING_OFFER,13,WIN,334,4,0.6666666666666666,0.6666666666666666,590,250,1000
ALTERNATING_OFFER,14,LOSS,1183,5,1.6666666666666667,0.3333333333333333,120,1000,720
ALTERNATING_OFFER,15,WIN,217,4,0.6666666666666666,0.6666666666666666,460,440,950
ALTERNATING_OFFER,16,WIN,592,2,0.3333333333333333,0.3333333333333333,580,190,1090
ALTERNATING_OFFER,17,WIN,855,3,1,0.6,870,170,830
ALTERNATING_OFFER,18,LOSS,703,1,0.3333333333333333,0.3333333333333333,840,620,400
ALTERNATING_OFFER,19,LOSS,617,4,1,0.3333333333333333,540,960,270
ALTERNATING_OFFER,20,WIN,151,3,1,0.3333333333333333,850,570,480
ALTERNATING_OFFER,21,WIN,273,3,0.6666666666666666,0.6666666666666666,590,430,840
ALTERNATING_OFFER,22,WIN,358,7,2.3333333333333335,0.44144144144144143,970,470,440
ALTERNATING_OFFER,23,WIN,332,89,29.333333333333332,0.7118955690384262,510,820,530
ALTERNATING_OFFER,24,LOSS,1241,25,8.333333333333334,0.3333333333333333,60,440,1350
ALTERNATING_OFFER,25,WIN,720,1,0.3333333333333333,0.3333333333333333,1470,110,290
ALTERNATING_OFFER,26,WIN,412,1,0.3333333333333333,0.3333333333333333,720,540,560
ALTERNATING_OFFER,27,LOSS,905,4,0.6666666666666666,0.6666666666666666,920,410,510
ALTERNATING_OFFER,28,WIN,258,3,1,0.6,720,660,460
ALTERNATING_OFFER,29,LOSS,1009,14,4.666666666666667,0.3843137254901961,650,910,280
ALTERNATING_OFFER,30,WIN,794,1,0.3333333333333333,0.3333333333333333,400,560,880
ALTERNATING_OFFER,31,WIN,399,56,18.666666666666668,0.3454505397664684,760,840,290
ALTERNATING_OFFER,32,WIN,465,20,6.666666666666667,0.3333333333333333,410,740,750
ALTERNATING_OFFER,33,LOSS,1128,3,1,0.3333333333333333,710,370,770
ALTERNATING_OFFER,34,LOSS,1287,14,4.666666666666667,0.3843137254901961,530,360,850
ALTERNATING_OFFER,35,LOSS,960,1,0.3333333333333333,0.3333333333333333,1060,620,190
ALTERNATING_OFFER,36,WIN,420,3,1,0.3333333333333333,640,330,880
ALTERNATING_OFFER,37,WIN,340,15,5,0.49019607843137253,560,1040,260
ALTERNATING_OFFER,38,WIN,157,5,1.3333333333333333,0.3333333333333333,660,240,940
ALTERNATING_OFFER,39,LOSS,982,0,0,0,1390,390,90
ALTERNATING_OFFER,40,LOSS,1386,2,0.3333333333333333,0.3333333333333333,80,850,890
ALTERNATING_OFFER,41,WIN,348,2,0.6666666666666666,0.6666666666666666,550,760,570
ALTERNATING_OFFER,42,WIN,248,41,13.333333333333334,0.3333333333333333,1200,290,390
ALTERNATING_OFFER,43,WIN,537,6,0.6666666666666666,0.6666666666666666,340,790,720
ALTERNATING_OFFER,44,LOSS,859,42,12.333333333333334,0.6661800486618005,290,820,680
ALTERNATING_OFFER,45,WIN,219,2,0.6666666666666666,0.6666666666666666,770,440,650
ALTERNATING_OFFER,46,LOSS,1127,55,17.333333333333332,0.3739972337482711,630,430,650
ALTERNATING_OFFER,47,WIN,267,6,1.6666666666666667,0.49019607843137253,550,190,1150
ALTERNATING_OFFER,48,WIN,700,0,0,0,60,840,1000
ALTERNATING_OFFER,49,WIN,544,17,5.666666666666667,0.664367816091954,1110,290,480
ALTERNATING_OFFER,50,LOSS,948,88,28.666666666666668,0.34117538518313495,540,630,630
ALTERNATING_OFFER,51,WIN,257,30,9.666666666666666,0.3571125265392781,430,480,940
ALTERNATING_OFFER,52,WIN,285,4,1,0.6,530,900,410
ALTERNATING_OFFER,53,LOSS,1049,2,0.6666666666666666,0.6666666666666666,550,840,460
ALTERNATING_OFFER,54,WIN,588,3,0.3333333333333333,0.3333333333333333,330,1010,540
ALTERNATING_OFFER,55,WIN,894,3,0.6666666666666666,0.6666666666666666,430,220,1200
ALTERNATING_OFFER,56,WIN,353,4,0.6666666666666666,0.6666666666666666,540,600,740
ALTERNATING_OFFER,57,LOSS,435,15,5.333333333333333,0.4904214559386973,710,660,340
ALTERNATING_OFFER,58,LOSS,969,2,0.6666666666666666,0.6666666666666666,560,670,440
ALTERNATING_OFFER,59,LOSS,904,2,0.3333333333333333,0.3333333333333333,420,460,790
ALTERNATING_OFFER,60,WIN,272,1,0.3333333333333333,0.3333333333333333,580,710,560
ALTERNATING_OFFER,61,WIN,239,12,3.6666666666666665,0.39933993399339934,600,280,1020
ALTERNATING_OFFER,62,WIN,698,7,1.6666666666666667,0.6410256410256411,550,680,650
ALTERNATING_OFFER,63,LOSS,1051,5,1.6666666666666667,0.9259259259259259,260,810,620
ALTERNATING_OFFER,64,WIN,377,1,0.3333333333333333,0.3333333333333333,130,890,810
ALTERNATING_OFFER,65,LOSS,941,68,22.666666666666668,0.6525543324865933,1420,70,340
ALTERNATING_OFFER,66,LOSS,730,12,2.6666666666666665,0.4266666666666667,310,640,870
ALTERNATING_OFFER,67,LOSS,1047,5,1.6666666666666667,0.49019607843137253,360,1150,330
ALTERNATING_OFFER,68,WIN,477,3,1,0.3333333333333333,1000,230,610
ALTERNATING_OFFER,69,WIN,208,7,1.6666666666666667,0.3333333333333333,690,770,390
ALTERNATING_OFFER,70,WIN,553,12,4,0.39344262295081966,860,460,530
ALTERNATING_OFFER,71,WIN,438,135,45,0.3333333333333333,540,680,630
ALTERNATING_OFFER,72,WIN,373,3,0.3333333333333333,0.3333333333333333,310,900,610
ALTERNATING_OFFER,73,LOSS,1029,15,4.666666666666667,0.3333333333333333,480,400,970
ALTERNATING_OFFER,74,WIN,212,1,0.3333333333333333,0.3333333333333333,760,400,710
ALTERNATING_OFFER,75,WIN,483,31,10.333333333333334,0.3555308916019238,420,890,560
ALTERNATING_OFFER,76,WIN,257,1,0.3333333333333333,0.3333333333333333,200,1160,540
ALTERNATING_OFFER,77,WIN,771,1,0.3333333333333333,0.3333333333333333,1230,280,340
ALTERNATING_OFFER,78,LOSS,1096,95,31.666666666666668,0.34042472935762513,340,480,1010
ALTERNATING_OFFER,79,LOSS,1221,4,0.3333333333333333,0.3333333333333333,400,760,670
ALTERNATING_OFFER,80,LOSS,547,38,12,0.3523654159869494,260,420,1160
ALTERNATING_OFFER,81,LOSS,933,1,0.3333333333333333,0.3333333333333333,130,480,920
ALTERNATING_OFFER,82,LOSS,744,70,23.333333333333332,0.5241762943945228,530,690,590
ALTERNATING_OFFER,83,LOSS,1172,17,5.333333333333333,0.3333333333333333,810,620,360
ALTERNATING_OFFER,84,WIN,359,53,17.333333333333332,0.4670120898100173,770,590,490
ALTERNATING_OFFER,85,WIN,553,7,2,0.46153846153846156,570,150,1130
ALTERNATING_OFFER,86,LOSS,1040,7,2.3333333333333335,0.44144144144144143,590,980,290
ALTERNATING_OFFER,87,LOSS,1067,43,14.333333333333334,0.34919735599622287,220,1040,600
ALTERNATING_OFFER,88,LOSS,1213,1,0.3333333333333333,0.3333333333333333,1020,340,340
ALTERNATING_OFFER,89,WIN,656,8,2.6666666666666665,0.5614035087719298,410,850,630
ALTERNATING_OFFER,90,WIN,871,67,21.666666666666668,0.6541260257005729,140,1240,510
ALTERNATING_OFFER,91,WIN,304,5,1.6666666666666667,0.49019607843137253,680,510,660
ALTERNATING_OFFER,92,LOSS,980,2,0.3333333333333333,0.3333333333333333,670,740,420
ALTERNATING_OFFER,93,WIN,688,2,0.6666666666666666,0.6666666666666666,450,350,1090
ALTERNATING_OFFER,94,WIN,446,1,0.3333333333333333,0.3333333333333333,860,600,400
ALTERNATING_OFFER,95,LOSS,521,28,8.666666666666666,0.3599574014909478,420,880,510
ALTERNATING_OFFER,96,LOSS,1798,2,0.6666666666666666,0.6666666666666666,210,1020,600
ALTERNATING_OFFER,97,LOSS,971,21,6.333333333333333,0.5444947209653092,580,820,460
ALTERNATING_OFFER,98,LOSS,1107,53,17,0.6426982950333581,470,650,710
ALTERNATING_OFFER,99,WIN,348,101,33.666666666666664,0.33999933339999333,410,830,600
ALTERNATING_OFFER,100,WIN,534,44,14.666666666666666,0.3488288288288288,980,420,470
ALTERNATING_OFFER,101,WIN,349,11,3.6666666666666665,0.39933993399339934,810,740,320
ALTERNATING_OFFER,102,WIN,602,6,2,0.46153846153846156,640,1030,230
ALTERNATING_OFFER,103,WIN,276,14,3.6666666666666665,0.3333333333333333,650,270,970
ALTERNATING_OFFER,104,LOSS,1111,6,2,0.46153846153846156,380,650,770
ALTERNATING_OFFER,105,WIN,217,4,1,0.6,420,600,840
ALTERNATING_OFFER,106,WIN,176,1,0.3333333333333333,0.3333333333333333,760,440,700
ALTERNATING_OFFER,107,WIN,938,18,6,0.3333333333333333,790,940,130
ALTERNATING_OFFER,108,LOSS,664,10,3.3333333333333335,0.3333333333333333,890,460,350
ALTERNATING_OFFER,109,LOSS,1036,2,0.6666666666666666,0.6666666666666666,990,490,360
ALTERNATING_OFFER,110,WIN,563,2,0.6666666666666666,0.6666666666666666,220,570,1060
ALTERNATING_OFFER,111,WIN,170,19,6,0.46153846153846156,610,350,920
ALTERNATING_OFFER,112,LOSS,515,53,17,0.49177538287010775,340,780,600
ALTERNATING_OFFER,113,WIN,342,0,0,0,720,830,310
ALTERNATING_OFFER,114,WIN,453,25,7.333333333333333,0.3650075414781297,820,470,580
ALTERNATING_OFFER,115,LOSS,1229,5,1,0.6,270,510,1080
ALTERNATING_OFFER,116,LOSS,1270,11,3.3333333333333335,0.4065040650406504,420,830,630
ALTERNATING_OFFER,117,LOSS,1118,4,0.3333333333333333,0.3333333333333333,460,1050,360
ALTERNATING_OFFER,118,WIN,164,3,0.6666666666666666,0.6666666666666666,830,400,640
ALTERNATING_OFFER,119,WIN,364,1,0.3333333333333333,0.3333333333333333,1360,200,290
ALTERNATING_OFFER,120,WIN,951,9,2.6666666666666665,0.4266666666666667,500,640,730
ALTERNATING_OFFER,121,WIN,150,5,0.6666666666666666,0.6666666666666666,590,290,1010
ALTERNATING_OFFER,122,LOSS,846,42,13.666666666666666,0.5688663282571912,460,1040,310
