Strategy,Trial,Outcome,Turns,Conflicts,Avg_Wait_Time,Fairness_Index,PacmanA_Score,PacmanB_Score,PacmanC_Score
PRIORITY_BASED,1,WIN,257,5,1.3333333333333333,0.5333333333333333,670,250,940
PRIORITY_BASED,2,WIN,977,35,11.666666666666666,0.3529242293287237,840,470,570
PRIORITY_BASED,3,WIN,859,27,9,0.571764705882353,560,800,520
PRIORITY_BASED,4,WIN,322,28,9.333333333333334,0.5632183908045977,150,830,870
PRIORITY_BASED,5,LOSS,960,112,37,0.3393934385587968,680,450,630
PRIORITY_BASED,6,WIN,233,29,9.666666666666666,0.3333333333333333,530,770,560
PRIORITY_BASED,7,WIN,260,1,0.3333333333333333,0.3333333333333333,540,420,920
PRIORITY_BASED,8,LOSS,881,2,0.6666666666666666,0.6666666666666666,160,650,480
PRIORITY_BASED,9,WIN,186,3,1,0.6,360,1250,270
PRIORITY_BASED,10,LOSS,909,4,0.6666666666666666,0.6666666666666666,770,480,590
PRIORITY_BASED,11,WIN,823,62,20.666666666666668,0.40522875816993464,240,1140,490
PRIORITY_BASED,12,WIN,450,6,2,0.6666666666666666,560,350,940
PRIORITY_BASED,13,WIN,566,26,8.666666666666666,0.651252408477842,530,520,790
PRIORITY_BASED,14,WIN,383,21,7,0.3333333333333333,720,300,860
PRIORITY_BASED,15,WIN,1007,4,1.3333333333333333,0.3333333333333333,670,50,1140
PRIORITY_BASED,16,WIN,264,0,0,0,190,470,1160
PRIORITY_BASED,17,WIN,208,3,0.6666666666666666,0.6666666666666666,590,790,490
PRIORITY_BASED,18,WIN,217,15,5,0.49019607843137253,400,620,830
PRIORITY_BASED,19,LOSS,1285,38,12.666666666666666,0.351338199513382,690,850,310
PRIORITY_BASED,20,WIN,273,126,42,0.33866632535517727,290,550,990
PRIORITY_BASED,21,WIN,614,32,10.666666666666666,0.4526967285587975,560,260,1060
PRIORITY_BASED,22,LOSS,944,163,54.333333333333336,0.424784562009369,840,740,270
PRIORITY_BASED,23,LOSS,1144,24,8,0.4266666666666667,1130,360,360
PRIORITY_BASED,24,WIN,347,31,10.333333333333334,0.37909270216962526,710,460,690
PRIORITY_BASED,25,LOSS,386,7,2.3333333333333335,0.44144144144144143,300,260,830
PRIORITY_BASED,26,LOSS,1026,107,35,0.5709181295634612,550,510,770
PRIORITY_BASED,27,WIN,225,21,6.666666666666667,0.3683241252302026,630,470,730
PRIORITY_BASED,28,WIN,472,1,0.3333333333333333,0.3333333333333333,30,800,1040
PRIORITY_BASED,29,WIN,1081,256,85.33333333333333,0.35759262290609484,400,940,550
PRIORITY_BASED,30,LOSS,943,72,23,0.34313513513513516,740,440,640
PRIORITY_BASED,31,WIN,257,1,0.3333333333333333,0.3333333333333333,430,110,1310
PRIORITY_BASED,32,WIN,657,2,0.6666666666666666,0.6666666666666666,90,740,1010
PRIORITY_BASED,33,LOSS,752,1,0.3333333333333333,0.3333333333333333,140,160,1350
PRIORITY_BASED,34,WIN,233,4,1.3333333333333333,0.5333333333333333,750,460,700
PRIORITY_BASED,35,LOSS,1054,1,0.3333333333333333,0.3333333333333333,690,770,370
PRIORITY_BASED,36,WIN,193,1,0.3333333333333333,0.3333333333333333,520,280,1100
PRIORITY_BASED,37,WIN,426,15,5,0.38071065989847713,1030,290,500
PRIORITY_BASED,38,WIN,293,3,1,0.6,150,810,910
PRIORITY_BASED,39,WIN,227,4,1.3333333333333333,0.5333333333333333,640,760,490
PRIORITY_BASED,40,LOSS,1623,2,0.6666666666666666,0.6666666666666666,1110,230,470
PRIORITY_BASED,41,WIN,412,56,18.333333333333332,0.35845479322194573,560,640,670
PRIORITY_BASED,42,LOSS,1010,55,18.333333333333332,0.49019607843137253,580,410,890
PRIORITY_BASED,43,WIN,217,13,4.333333333333333,0.9548022598870056,720,690,440
PRIORITY_BASED,44,LOSS,954,1,0.3333333333333333,0.3333333333333333,130,150,500
PRIORITY_BASED,45,WIN,898,55,18.333333333333332,0.3333333333333333,800,460,600
PRIORITY_BASED,46,LOSS,1000,38,12.666666666666666,0.351338199513382,560,560,430
PRIORITY_BASED,47,WIN,301,39,13,0.3508650519031142,400,650,810
PRIORITY_BASED,48,LOSS,904,1,0.3333333333333333,0.3333333333333333,760,600,430
PRIORITY_BASED,49,LOSS,997,16,5,0.5725190839694656,1000,220,610
PRIORITY_BASED,50,WIN,421,1,0.3333333333333333,0.3333333333333333,650,620,560
PRIORITY_BASED,51,WIN,365,19,6,0.3724137931034483,420,1010,430
PRIORITY_BASED,52,WIN,539,1,0.3333333333333333,0.3333333333333333,270,360,1240
PRIORITY_BASED,53,LOSS,702,39,13,0.3508650519031142,1070,380,350
PRIORITY_BASED,54,LOSS,1104,0,0,0,1300,80,40
PRIORITY_BASED,55,WIN,197,11,3.6666666666666665,0.3333333333333333,560,660,650
PRIORITY_BASED,56,LOSS,950,36,12,0.37305699481865284,390,360,1060
