Strategy,Trial,Outcome,Turns,Conflicts,Avg_Wait_Time,Fairness_Index,PacmanA_Score,PacmanB_Score,PacmanC_Score
Q_LEARNING,1,LOSS,360,7,81.66666666666667,0.904086274155408,310,460,740
Q_LEARNING,2,LOSS,547,4,135,0.7521770831900287,450,370,410
Q_LEARNING,3,WIN,480,3,89,0.9076429471754326,570,960,330
Q_LEARNING,4,WIN,346,10,87.33333333333333,0.9933721165812857,510,860,510
Q_LEARNING,5,WIN,354,5,91,0.9870475585045095,500,780,570
Q_LEARNING,6,LOSS,477,10,117.66666666666667,0.9533022729185314,70,1270,550
Q_LEARNING,7,WIN,427,10,92.33333333333333,0.8209383191569036,690,920,260
Q_LEARNING,8,WIN,454,11,119,0.8876329370468649,430,370,1090
Q_LEARNING,9,LOSS,515,6,158,0.9794925451216322,470,460,890
Q_LEARNING,10,LOSS,367,20,107.66666666666667,0.9985451900345518,520,490,710
Q_LEARNING,11,LOSS,439,8,113.66666666666667,0.9521317972274763,780,610,460
Q_LEARNING,12,LOSS,458,10,99.33333333333333,0.886798482125025,1220,330,200
Q_LEARNING,13,WIN,332,8,91.33333333333333,0.997422611930384,680,560,640
Q_LEARNING,14,LOSS,881,7,153,0.6562105794298209,990,100,750
Q_LEARNING,15,WIN,318,6,101.66666666666667,0.8661303687978921,780,720,370
Q_LEARNING,16,WIN,267,8,77,0.9941870214074116,920,390,570
Q_LEARNING,17,WIN,406,20,108,0.991106327536396,620,470,790
Q_LEARNING,18,LOSS,466,8,110.33333333333333,0.9694033746538193,920,580,350
Q_LEARNING,19,WIN,415,7,123.33333333333333,0.9456901673091005,450,590,820
Q_LEARNING,20,LOSS,377,1,95.66666666666667,0.7757122004049536,440,710,250
Q_LEARNING,21,LOSS,895,34,201,0.6764050963518559,420,440,900
Q_LEARNING,22,LOSS,645,25,144.33333333333334,0.9502977774398743,570,670,530
Q_LEARNING,23,LOSS,625,0,122.66666666666667,0.756516395732082,350,1390,30
Q_LEARNING,24,LOSS,529,13,139.33333333333334,0.954932502596054,620,460,780
Q_LEARNING,25,WIN,261,1,68.33333333333333,0.9735446058331596,420,690,740
Q_LEARNING,26,WIN,309,12,81.33333333333333,0.9925644359974659,750,730,390
Q_LEARNING,27,LOSS,506,7,115,0.9597474539780837,990,740,110
Q_LEARNING,28,LOSS,671,8,168.66666666666666,0.9440437738743124,720,490,640
Q_LEARNING,29,LOSS,552,3,106.66666666666667,0.7309691051339158,120,690,1020
Q_LEARNING,30,WIN,238,7,67.66666666666667,0.9599785682670581,390,740,740
Q_LEARNING,31,WIN,380,0,96.66666666666667,0.9928224016621807,790,700,360
