rank,trial_id,val_loss,num_layers,activation_func,dropout_rate,batchnorm,units_l0,learning_rate,optimizer_name,batch_size,units_l1,units_l2,units_l3,units_l4,weight_decay
1,01,0.5032761096954346,2,elu,0.0,False,64,0.0013587423592826974,nadam,32,32.0,,,,
2,11,0.5043719410896301,2,leaky_relu,0.4,True,256,0.00044451511169648424,adam,256,64.0,32.0,128.0,32.0,1.378325842049927e-05
3,45,0.5047604441642761,1,relu,0.4,True,64,0.0004118885383206313,adam,256,64.0,64.0,128.0,32.0,0.00013497541900983517
4,17,0.5062513947486877,1,leaky_relu,0.0,True,512,0.00011713931734866923,rmsprop,1024,128.0,32.0,32.0,512.0,1.847628690885215e-05
5,07,0.5071462392807007,4,elu,0.30000000000000004,True,256,0.0011755140323423952,adam,64,512.0,32.0,32.0,64.0,0.00022261711101035104
6,38,0.5080618858337402,2,elu,0.30000000000000004,True,512,0.0004442955470888697,adam,512,64.0,512.0,128.0,512.0,0.00024186545482647747
7,48,0.5093426704406738,2,leaky_relu,0.2,True,128,0.0003243609555320197,adam,128,512.0,128.0,128.0,32.0,0.0003148079776199842
8,35,0.5093980431556702,3,elu,0.1,True,512,0.0018018826900023162,adam,256,128.0,128.0,512.0,32.0,0.0006590783805543402
9,44,0.510315477848053,2,leaky_relu,0.30000000000000004,True,32,0.00014160737874593563,adam,32,256.0,32.0,32.0,128.0,0.00019437927512331517
10,39,0.5118415355682373,2,leaky_relu,0.2,True,128,0.00035587387633461375,adam,128,64.0,128.0,128.0,128.0,0.00018326492173221213
11,36,0.5119804739952087,3,leaky_relu,0.4,True,512,0.004061956964369661,adam,512,128.0,512.0,256.0,32.0,0.0002618783748782882
12,34,0.512428343296051,1,elu,0.30000000000000004,True,64,0.0003271739205768162,adamw,64,512.0,64.0,64.0,128.0,5.792676627629467e-05
13,04,0.5127402544021606,3,relu,0.2,True,128,0.00012236379428192165,nadam,32,256.0,256.0,32.0,128.0,
14,46,0.5127654671669006,1,relu,0.30000000000000004,True,128,0.0001,adam,128,128.0,128.0,32.0,128.0,1e-05
15,33,0.5130751729011536,1,elu,0.4,False,128,0.0011706801614071447,nadam,32,64.0,128.0,128.0,256.0,0.0007216386468332446
16,29,0.5141353607177734,3,leaky_relu,0.4,True,32,0.0015865794029742645,adam,32,256.0,128.0,512.0,64.0,0.000326830596509862
17,15,0.5145646333694458,3,elu,0.0,True,512,0.00018702715280418566,nadam,1024,512.0,64.0,256.0,256.0,2.3738324900758812e-05
18,06,0.5150604248046875,1,relu,0.1,True,512,0.00012477735045546525,rmsprop,1024,256.0,256.0,256.0,128.0,0.00024174314667387863
19,43,0.5163919925689697,2,leaky_relu,0.30000000000000004,True,512,0.0002456692375470256,adam,512,32.0,256.0,256.0,32.0,6.728883867382582e-05
